ÐÐ,ÕóÈÝ,³É¼¨,ÊÇ·ñ±ß,±£»¤º®Òâ,±£»¤»ðÑæ,±£»¤´óC,±£»¤Ð¡C,±£»¤¶Ôµ¥,±£»¤¾Û¹Ö,±£»¤ÕæÈº,±£»¤Àà»ú,±£»¤ÀàÐÇ,±£»¤¾­Ñé¸¨,±£»¤ÀàºË,º®Òâ,»ðÑæ,Ó²Ç°ÅÅ,Ç°ÅÅ,¹«Ê½Õó,´óC,Ð¡C,¶Ôµ¥,¾Û¹Ö,ÕæÈº,Àà»ú,ÀàÐÇ,¾­Ñé¸¨,Ñø×ì,ÀàºË,ÓÐÎÞ¾Ñ,ÓÐÎÞÂó,ÓÐÎÞ¼á,ÓÐÎÞÀ×,ÓÐÎÞº®,ÓÐÎÞ×ì,ÓÐÎÞË«,ÓÐÎÞÐ¡,ÓÐÎÞÑô,ÓÐÎÞÅç,ÓÐÎÞ÷È,ÓÐÎÞµ¨,ÓÐÎÞ´¨,ÓÐÎÞÎÑ,ÓÐÎÞÈý,ÓÐÎÞ²ø,ÓÐÎÞ»ð,ÓÐÎÞ¸ß,ÓÐÎÞº£,ÓÐÎÞµÆ,ÓÐÎÞÏÉ,ÓÐÎÞÒ¶,ÓÐÎÞÁÑ,ÓÐÎÞÐÇ,ÓÐÎÞ´Å,ÓÐÎÞ¾í,ÓÐÎÞÓñ,ÓÐÎÞËâ,ÓÐÎÞÉ¡,ÓÐÎÞ½ð,ÓÐÎÞ¹Ï,ÓÐÎÞ»ú,ÓÐÎÞÔø,ÓÐÎÞÃ¨,ÓÐÎÞ±ù,ÓÐÎÞÎü,ÓÐÎÞ´Ì,ÓÐÎÞ±¬,ÓÐÎÞÆ®,ÓÐÎÞ·´,ÓÐÎÞÈô,ÓÐÎÞÄÌ,ÓÐÎÞÓÄ,ÓÐÎÞÄæ,ÓÐÎÞÌÙ
1,ÁÑµÆÄÌ»úº£,115334,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,Ë«ÎÑÐÇ´Å¹Ï,108655,0,0,0,0,3,0,0,2,1,2,0,0,0,0,0,1,0,1,3,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ð¡ÎüµÆÉ¡Ëâ,17340,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,ÎÑ±ùË«µ¨¾Ñ,60538,0,1,0,0,3,0,1,2,1,0,0,0,1,0,0,1,0,0,3,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,¾í²øÓñ×ì÷È,80835,1,0,0,0,1,2,2,0,0,0,0,1,0,0,1,1,1,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ÎÑº£Îü´ÅÎÑ,43559,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,ÁÑÐ¡µ¨µÆÑô,81403,0,0,0,1,3,1,0,1,3,1,0,0,0,0,0,1,1,1,3,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,»úÐÇº®ÎÑÐ¡,107561,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ÎÑÉ¡Ë«Îü´¨,65927,0,1,0,0,2,0,1,2,1,0,1,0,1,0,0,1,0,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,µ¨ÑôË«Ð¡Èý,55614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,2,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ã¨º®ÈôË«²ø,101024,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,ÈýÐÇÄÌÏÉ»ú,132327,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,º£ÑôÉ¡µ¨Ë«,87963,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ÁÑÁÑÓñÎÑ¹Ï,93494,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,1,1,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ð¡÷È÷ÈÆ®Ôø,105051,1,0,0,1,2,0,2,2,1,1,1,1,0,0,1,1,0,1,2,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,·´½ðÆ®´ÅÄÌ,121051,1,0,0,0,3,0,0,3,1,1,0,1,0,0,0,1,0,0,3,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2,ÎÑÐÇÐÇÓñÓÄ,99192,0,0,0,0,3,1,1,1,0,1,0,0,0,0,0,1,1,0,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Ë«À×ÏÉÔøÉ¡,95931,0,0,0,2,1,0,0,3,1,1,1,0,0,0,2,1,0,2,1,0,0,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,ÑôÀ×À×¸ßÐ¡,48455,0,0,0,3,0,1,1,3,0,0,0,0,0,0,1,1,1,3,1,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,À×µ¨¼á±¬Èý,29844,1,0,0,1,1,0,0,2,1,0,0,1,0,0,2,1,0,1,2,0,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,Ë«¹ÏÓñÆ®±¬,117526,1,0,0,1,2,1,1,4,1,0,0,1,0,0,1,1,1,1,2,1,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2,¾íÐÇµ¨Ëâ´Å,89368,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,1,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Æ®²ø¹ÏË«»ú,91668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Ð¡Îü´¨Ð¡µÆ,73079,0,1,0,0,2,0,1,0,1,0,1,0,1,0,0,1,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,·´Ò¶À×À×¼á,129613,1,0,0,2,1,0,0,3,1,0,0,0,0,0,1,1,0,2,1,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,¹Ïµ¨º£ÎüÏÉ,160432,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,ÅçÐ¡º®´ÌÓñ,114145,0,1,0,1,2,2,3,1,1,0,0,0,1,0,0,1,1,1,2,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,À×À×Æ®Ã¨À×,72722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4,º£·´¾Ñ½ð¸ß,93510,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,¾íÐÇÁÑ·´ÎÑ,129543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,ÁÑÎüÔø4Èý,53641,1,0,0,1,1,0,0,1,1,1,2,0,0,0,1,1,0,1,2,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,Èý±ùË«µ¨ÁÑ,114913,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,ÈýÆ®Èý¸ßÃ¨,124706,0,0,0,0,3,0,1,1,0,0,2,1,0,0,1,1,0,0,3,0,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4,Ð¡µ¨ÌÙÎüµ¨,61657,0,0,0,0,2,0,0,1,2,1,1,1,0,0,0,1,0,0,3,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,ÈýÎüµ¨Ð¡»ú,54522,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,ÐÇÒ¶÷ÈµÆÐ¡,78939,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ã¨Ë«·´±ùÉ¡,93040,0,1,0,0,2,0,1,2,2,1,1,0,1,0,0,1,0,0,2,0,1,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
3,»úÅçÏÉÀ××ì,106184,0,0,0,3,0,0,0,2,1,0,0,0,0,0,2,1,0,3,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Åç´Åµ¨¾íÀ×,90132,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,À×²øÌÙÃ¨»ú,91036,1,0,0,1,0,1,1,2,0,1,0,0,0,0,0,1,1,2,0,1,1,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,·´»úµÆÓñÎÑ,91266,1,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Æ®¾Ñ¸ßÓñÆ®,115166,0,0,0,0,1,1,2,1,0,0,0,1,0,0,1,1,1,0,2,1,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3,À×µ¨·´Èý²ø,86606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,ÁÑ²øËâÌÙ½ð,74458,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,ÁÑÃ¨º£ÌÙ×ì,121596,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,ÅçÒ¶À×²øÐ¡,76736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,·´Ò¶¹ÏÎüÅç,55422,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,1,0,2,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3,ÑôÒ¶ÈýÀ×É¡,65549,0,0,0,2,1,1,0,2,0,0,1,0,0,0,0,1,1,2,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,·´µÆ¼á½ð¹Ï,75209,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,Ð¡ÁÑ»ðÈôÒ¶,98543,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,Ñô¹Ï¾Ñ¾ÑÐÇ,86670,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,1,2,1,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,»ú·´Ð¡×ìÓñ,121809,0,0,0,1,2,1,1,1,3,0,0,0,0,0,1,1,1,1,2,1,1,1,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,º£¾íËâ¾Ñ¸ß,65402,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ÐÇ½ðº£ÎüÑô,63573,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,ÎÑ½ðÌÙ²ø´Å,14112,1,0,0,0,1,1,1,2,0,2,0,0,0,0,0,1,1,0,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,ÎÑ´¨µÆ´Å¾í,62570,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ã¨½ðÄæÔø¾í,64181,0,0,0,1,0,0,1,1,0,1,2,0,0,0,1,1,0,1,1,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
3,ÁÑÃ¨½ðÄæÄÌ,64315,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,1,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
4,¹Ï´Å×ìÎÑ÷È,73108,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Æ®À×µÆ÷È·´,79672,1,0,0,1,1,0,1,2,0,0,0,1,0,0,0,1,0,1,2,0,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,ÅçÐÇÓñÈôµÆ,107894,1,0,0,1,2,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
